IdTesserato,CognomeNome,Tipo,Residenza,LivelloCampionato,Esperienza,Esperienza
3306,R-3306,arbitro,"PIAZZA ARMERINA (ENNA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3299,R-3299,arbitro,"PISA (PISA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
587,R-587,arbitro,"BOLOGNA (BOLOGNA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3283,R-3283,arbitro,"CREMA (CREMONA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3292,R-3292,arbitro,"TERAMO (TERAMO)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
2640,R-2640,arbitro,"BOLOGNA (BOLOGNA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3305,R-3305,arbitro,"MASSAFRA (TARANTO)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
706,R-706,arbitro,"ARGELATO (BOLOGNA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3300,R-3300,arbitro,"ROMA (ROMA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3301,R-3301,arbitro,"GROSSETO (GROSSETO)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3310,R-3310,arbitro,"TORINO (TORINO)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3288,R-3288,arbitro,"ROMA (ROMA)",1000,250,"1° Arbitro,2° Arbitro,3° Arbitro"
3311,R-3311,arbitro,"ANGHIARI (AREZZO)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3304,R-3304,arbitro,"LATINA (LATINA)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3303,R-3303,arbitro,"BAGHERIA (PALERMO)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3287,R-3287,arbitro,"MILANO (MILANO)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3282,R-3282,arbitro,"TRIESTE (TRIESTE)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3290,R-3290,arbitro,"TORINO (TORINO)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3281,R-3281,arbitro,"FIRENZE (FIRENZE)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3295,R-3295,arbitro,"SIENA (SIENA)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3289,R-3289,arbitro,"GRUMOLO DELLE (VICENZA)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3309,R-3309,arbitro,"ASCOLI PICENO (ASCOLI PICENO)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3307,R-3307,arbitro,"SPELLO (PERUGIA)",1000,100,"1° Arbitro,2° Arbitro,3° Arbitro"
3312,R-3312,arbitro,"MESSINA (MESSINA)",1000,50,"2° Arbitro,3° Arbitro"
3280,R-3280,arbitro,"PRIOLO GARGALLO (SIRACUSA)",1000,50,"2° Arbitro,3° Arbitro"
3291,R-3291,arbitro,"PALESTRINA (ROMA)",1000,50,"2° Arbitro,3° Arbitro"
3297,R-3297,arbitro,"ROMA (ROMA)",1000,50,"2° Arbitro,3° Arbitro"
3369,R-3369,arbitro,"ROMA (ROMA)",1000,50,"2° Arbitro,3° Arbitro"
3316,R-3316,arbitro,"ANCONA (ANCONA)",1000,50,"2° Arbitro,3° Arbitro"
3314,R-3314,arbitro,"MARTINA FRANCA (TARANTO)",1000,50,"2° Arbitro,3° Arbitro"
3296,R-3296,arbitro,"TERNI (TERNI)",1000,50,"2° Arbitro,3° Arbitro"
3286,R-3286,arbitro,"PISA (PISA)",1000,50,"2° Arbitro,3° Arbitro"
3293,R-3293,arbitro,"MIRANO (VENEZIA)",1000,50,"2° Arbitro,3° Arbitro"
3346,R-3346,arbitro,"PESCARA (PESCARA)",1000,50,"2° Arbitro,3° Arbitro"
3308,R-3308,arbitro,"TORINO (TORINO)",1000,50,"2° Arbitro,3° Arbitro"
3362,R-3362,arbitro,"GENOVA (GENOVA)",1000,50,"2° Arbitro,3° Arbitro"
